Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
356,0,8,0,-4.798657718120805,0.18,-4.798657718120805
357,0,8,0,-4.798657718120805,0.18,-4.798657718120805
358,0,8,0,-4.798657718120805,0.18,-4.798657718120805
359,0,8,0,-4.798657718120805,0.18,-4.798657718120805
360,0,8,0,-4.798657718120805,0.18,-4.798657718120805
361,0,8,0,-4.798657718120805,0.18,-4.798657718120805
362,0,8,0,-4.798657718120805,0.18,-4.798657718120805
363,0,8,0,-4.798657718120805,0.18,-4.798657718120805
364,0,8,0,-4.798657718120805,0.18,-4.798657718120805
365,0,8,0,-4.798657718120805,0.18,-4.798657718120805
366,0,8,0,-4.798657718120805,0.18,-4.798657718120805
367,0,8,0,-4.798657718120805,0.18,-4.798657718120805
368,0,8,0,-4.798657718120805,0.18,-4.798657718120805
369,0,8,0,-4.798657718120805,0.18,-4.798657718120805
370,0,8,0,-4.798657718120805,0.18,-4.798657718120805
371,0,8,0,-4.798657718120805,0.18,-4.798657718120805
372,0,8,0,-4.798657718120805,0.18,-4.798657718120805
373,0,8,0,-4.798657718120805,0.18,-4.798657718120805
374,0,8,0,-4.798657718120805,0.18,-4.798657718120805
375,0,8,0,-4.798657718120805,0.18,-4.798657718120805
376,0,8,0,-4.798657718120805,0.18,-4.798657718120805
377,0,8,0,-4.798657718120805,0.18,-4.798657718120805
378,0,8,0,-4.798657718120805,0.18,-4.798657718120805
379,0,8,0,-4.798657718120805,0.18,-4.798657718120805
380,0,8,0,-4.798657718120805,0.18,-4.798657718120805
381,0,8,0,-4.798657718120805,0.18,-4.798657718120805
382,0,8,0,-4.798657718120805,0.18,-4.798657718120805
383,0,8,0,-4.798657718120805,0.18,-4.798657718120805
384,0,8,0,-4.798657718120805,0.18,-4.798657718120805
385,0,8,0,-4.798657718120805,0.18,-4.798657718120805
386,0,8,0,-4.798657718120805,0.18,-4.798657718120805
387,0,8,0,-4.798657718120805,0.18,-4.798657718120805
388,0,8,0,-4.798657718120805,0.18,-4.798657718120805
389,0,8,0,-4.798657718120805,0.18,-4.798657718120805
390,0,8,0,-4.798657718120805,0.18,-4.798657718120805
391,0,8,0,-4.798657718120805,0.18,-4.798657718120805
392,0,8,0,-4.798657718120805,0.18,-4.798657718120805
393,0,8,0,-4.798657718120805,0.18,-4.798657718120805
394,0,8,0,-4.798657718120805,0.18,-4.798657718120805
395,0,8,0,-4.798657718120805,0.18,-4.798657718120805
396,0,8,0,-4.798657718120805,0.18,-4.798657718120805
397,0,8,0,-4.798657718120805,0.18,-4.798657718120805
398,0,8,0,-4.798657718120805,0.18,-4.798657718120805
399,0,8,0,-4.798657718120805,0.18,-4.798657718120805
400,0,8,0,-4.798657718120805,0.18,-4.798657718120805
401,0,8,0,-4.731543624161074,0.18,-4.731543624161074
402,0,8,0,-4.731543624161074,0.18,-4.731543624161074
403,0,8,0,-4.731543624161074,0.18,-4.731543624161074
404,0,8,0,-4.731543624161074,0.18,-4.731543624161074
405,0,8,0,-4.731543624161074,0.18,-4.731543624161074
406,0,8,0,-4.731543624161074,0.18,-4.731543624161074
407,0,8,0,-4.731543624161074,0.18,-4.731543624161074
408,0,8,0,-4.731543624161074,0.18,-4.731543624161074
409,0,8,0,-4.731543624161074,0.18,-4.731543624161074
410,0,8,0,-4.731543624161074,0.18,-4.731543624161074
411,0,8,0,-4.731543624161074,0.18,-4.731543624161074
412,0,8,0,-4.731543624161074,0.18,-4.731543624161074
413,0,8,0,-4.731543624161074,0.18,-4.731543624161074
414,0,8,0,-4.731543624161074,0.18,-4.731543624161074
415,0,8,0,-4.731543624161074,0.18,-4.731543624161074
416,0,8,0,-4.731543624161074,0.18,-4.731543624161074
417,0,8,0,-4.731543624161074,0.18,-4.731543624161074
418,0,8,0,-4.731543624161074,0.18,-4.731543624161074
419,0,8,0,-4.731543624161074,0.18,-4.731543624161074
420,0,8,0,-4.731543624161074,0.18,-4.731543624161074
421,0,8,0,-4.731543624161074,0.18,-4.731543624161074
422,0,8,0,-4.731543624161074,0.18,-4.731543624161074
423,0,8,0,-4.731543624161074,0.18,-4.731543624161074
424,0,8,0,-4.731543624161074,0.18,-4.731543624161074
425,0,8,0,-4.731543624161074,0.18,-4.731543624161074
426,0,8,0,-4.731543624161074,0.18,-4.731543624161074
427,0,8,0,-4.731543624161074,0.18,-4.731543624161074
428,0,8,0,-4.731543624161074,0.18,-4.731543624161074
429,0,8,0,-4.731543624161074,0.18,-4.731543624161074
430,0,8,0,-4.731543624161074,0.18,-4.731543624161074
431,0,8,0,-4.731543624161074,0.18,-4.731543624161074
432,0,8,0,-4.731543624161074,0.18,-4.731543624161074
433,0,8,0,-4.731543624161074,0.18,-4.731543624161074
434,0,8,0,-4.731543624161074,0.18,-4.731543624161074
435,0,8,0,-4.731543624161074,0.18,-4.731543624161074
436,0,8,0,-4.731543624161074,0.18,-4.731543624161074
437,0,8,0,-4.731543624161074,0.18,-4.731543624161074
438,0,8,0,-4.731543624161074,0.18,-4.731543624161074
439,0,8,0,-4.731543624161074,0.18,-4.731543624161074
440,0,8,0,-4.731543624161074,0.18,-4.731543624161074
441,0,8,0,-4.731543624161074,0.18,-4.731543624161074
442,0,8,0,-4.731543624161074,0.18,-4.731543624161074
443,0,8,0,-4.731543624161074,0.18,-4.731543624161074
444,0,8,0,-4.731543624161074,0.18,-4.731543624161074
445,0,8,0,-4.731543624161074,0.18,-4.731543624161074
446,0,8,0,-4.731543624161074,0.18,-4.731543624161074
447,0,8,0,-4.731543624161074,0.18,-4.731543624161074
448,0,8,0,-4.731543624161074,0.18,-4.731543624161074
449,0,8,0,-4.731543624161074,0.18,-4.731543624161074
450,0,8,0,-4.731543624161074,0.18,-4.731543624161074
451,0,8,0,-4.731543624161074,0.18,-4.731543624161074
452,0,8,0,-4.731543624161074,0.18,-4.731543624161074
453,0,8,0,-4.731543624161074,0.18,-4.731543624161074
454,0,8,0,-4.731543624161074,0.18,-4.731543624161074
455,0,8,0,-4.731543624161074,0.18,-4.731543624161074
456,0,8,0,-4.731543624161074,0.18,-4.731543624161074
457,0,8,0,-4.731543624161074,0.18,-4.731543624161074
458,0,8,0,-4.731543624161074,0.18,-4.731543624161074
459,0,8,0,-4.731543624161074,0.18,-4.731543624161074
460,0,8,0,-4.731543624161074,0.18,-4.731543624161074
461,0,8,0,-4.731543624161074,0.18,-4.731543624161074
462,0,8,0,-4.731543624161074,0.18,-4.731543624161074
463,0,8,0,-4.731543624161074,0.18,-4.731543624161074
464,0,8,0,-4.731543624161074,0.18,-4.731543624161074
465,0,8,0,-4.731543624161074,0.18,-4.731543624161074
466,0,8,0,-4.731543624161074,0.18,-4.731543624161074
467,0,8,0,-4.731543624161074,0.18,-4.731543624161074
468,0,8,0,-4.731543624161074,0.18,-4.731543624161074
469,0,8,0,-4.731543624161074,0.18,-4.731543624161074
470,0,8,0,-4.731543624161074,0.18,-4.731543624161074
471,0,8,0,-4.731543624161074,0.18,-4.731543624161074
472,0,8,0,-4.731543624161074,0.18,-4.731543624161074
473,0,8,0,-4.731543624161074,0.18,-4.731543624161074
474,0,8,0,-4.731543624161074,0.18,-4.731543624161074
475,0,8,0,-4.731543624161074,0.18,-4.731543624161074
476,0,8,0,-4.731543624161074,0.18,-4.731543624161074
477,0,8,0,-4.731543624161074,0.18,-4.731543624161074
478,0,8,0,-4.731543624161074,0.18,-4.731543624161074
479,0,8,0,-4.731543624161074,0.18,-4.731543624161074
480,0,8,0,-4.731543624161074,0.18,-4.731543624161074
481,0,8,0,-4.731543624161074,0.18,-4.731543624161074
482,0,8,0,-4.731543624161074,0.18,-4.731543624161074
483,0,8,0,-4.731543624161074,0.18,-4.731543624161074
484,0,8,0,-4.731543624161074,0.18,-4.731543624161074
485,0,8,0,-4.731543624161074,0.18,-4.731543624161074
