Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val,Decision (S1>S2)
417,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
418,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
419,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
420,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
421,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
422,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
423,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
424,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
425,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
426,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
427,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
428,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
429,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
430,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
431,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
432,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
433,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
434,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
435,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
436,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
437,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
438,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
439,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
440,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
441,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
442,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
443,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
444,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
445,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
446,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
447,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
448,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
449,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
450,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
451,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
